,age,sex,eduyear,employed,income,votepark,lovepark,conserv,lifehappy
2,35,0,23,1,880,0,0.300000012,1.799999952,5
3,48,0,16,0,800,1,0.5,3.299999952,4
5,52,1,6,1,108,0,0.699999988,3.099999905,5
6,54,1,9,1,700,0,0,2.400000095,3
7,49,0,12,0,225,1,0,2.700000048,2
8,40,0,14,0,450,0,0.5,3,3
9,64,0,9,0,210,1,0.5,3.200000048,3
10,70,0,6,0,60,1,1,3,3
11,37,0,16,1,400,1,0.5,2.799999952,4
13,58,0,12,1,230,1,0.699999988,3.400000095,3
15,52,1,18,1,350,0,0.300000012,1.600000024,3
17,39,0,16,1,600,0,0.300000012,2.900000095,3
18,33,1,16,1,630,1,0.699999988,2.900000095,4
19,45,1,9,0,70,1,0.5,3,1
21,36,1,12,1,300,0,0,2.599999905,3
22,33,1,16,1,390,0,0,2.5,4
26,34,1,14,1,500,0,0,2.099999905,3
27,37,1,14,1,250,0,0,2.400000095,3
29,23,1,16,0,900,0,0,2.700000048,4
33,30,1,23,0,200,0,0,2.900000095,4
34,34,1,18,0,300,0,0,2.299999952,3
35,23,1,16,0,1200,0,0,2.799999952,3
36,23,1,16,0,500,1,0.5,3.700000048,4
38,39,0,16,1,1066,1,0.300000012,3.299999952,2
39,36,0,16,0,900,0,0.300000012,3.599999905,4
40,34,0,16,1,850,0,0,1.5,4
41,52,0,14,0,300,1,0.699999988,2.900000095,3
42,42,1,16,1,750,1,0.699999988,3.700000048,5
44,40,1,16,1,1350,0,0,2.799999952,5
47,38,0,16,0,170,1,0.5,2.799999952,4
49,48,1,16,1,1300,1,0.5,3.099999905,4
51,38,0,18,0,350,0,0,2.299999952,3
52,49,0,16,1,1300,0,0.300000012,2,4
55,65,0,9,0,20,1,0.699999988,3.299999952,2
56,36,1,23,1,600,0,0.300000012,3.099999905,3
57,50,0,14,0,330,0,0,1.899999976,4
58,71,1,12,1,210,1,0.699999988,3,3
59,50,0,14,0,330,0,0,1.899999976,4
60,61,0,12,0,150,1,1,3.700000048,2
61,69,1,9,1,200,1,0.699999988,3.5,1
63,56,1,16,1,340,1,0.5,3.099999905,3
65,87,0,0,0,20,1,1,3,5
66,61,1,12,1,200,0,0,2.799999952,3
67,82,1,6,0,20,1,1,3.599999905,3
68,50,0,12,1,165,1,0.5,3.099999905,5
69,85,1,12,0,300,1,0.699999988,3.5,4
70,48,1,16,1,400,0,0,2.5,4
71,90,0,0,0,20,1,1,3.099999905,5
72,35,0,14,1,596,0,0.5,3.200000048,4
73,67,0,16,0,0,1,0.699999988,3.400000095,1
75,27,1,16,1,400,0,0,2.400000095,4
77,26,1,16,1,650,0,0,3.299999952,4
78,24,0,16,0,55,0,0,1.899999976,3
79,30,0,18,1,500,0,0,3.200000048,4
80,28,0,18,0,160,1,0.300000012,3,3
81,24,0,18,0,130,1,0.300000012,3.099999905,4
84,72,1,9,0,150,1,0.699999988,3.299999952,3
86,66,1,12,1,600,1,0.699999988,2.599999905,4
87,26,0,14,1,1500,1,0.5,3.700000048,4
88,70,0,12,1,130,1,0.300000012,3.700000048,4
91,26,1,16,1,320,0,0,2.799999952,3
92,23,1,16,0,40,1,0.5,3.299999952,5
93,23,1,16,0,40,0,0.300000012,2.299999952,3
95,25,1,16,0,0,0,0,3.200000048,3
96,24,0,16,1,420,0,0,2.700000048,5
99,37,0,12,1,200,1,0.5,3.400000095,3
101,24,1,16,0,100,1,0.300000012,3.099999905,4
108,52,0,18,0,2800,1,0.5,2.200000048,4
110,72,0,16,0,400,1,1,4,5
111,45,0,16,0,2100,0,0,3.400000095,5
112,46,1,16,1,950,1,0.699999988,2.900000095,3
113,65,0,6,1,240,1,1,3,5
114,82,1,16,0,250,1,0.699999988,2.400000095,3
115,54,1,12,1,130,0,0.300000012,3.099999905,3
116,26,1,14,0,200,1,0,3.299999952,1
118,67,0,6,1,50,1,1,3.200000048,1
119,70,0,6,0,500,1,0.699999988,2.599999905,1
120,76,1,6,0,34,1,0.699999988,3.299999952,2
121,74,0,6,0,70,1,0.5,2.900000095,3
122,34,0,14,1,430,0,0.300000012,3.099999905,4
123,47,1,16,1,600,0,0.300000012,2.299999952,4
124,62,0,16,0,1800,1,0,3.200000048,4
127,24,1,16,0,150,1,0,2.299999952,4
128,54,0,18,1,1350,1,0.699999988,3.099999905,5
130,55,0,18,0,1400,1,0.5,2.400000095,4
131,33,0,18,0,500,1,0,2.599999905,4
133,63,0,14,0,270,0,0.300000012,3.099999905,4
135,62,0,16,1,250,1,0.699999988,3.900000095,3
136,70,1,6,0,105,1,0.699999988,3.099999905,3
137,35,0,12,0,300,0,0,3.099999905,4
138,42,1,16,1,200,0,0,1.100000024,2
140,53,0,16,1,275,0,0.5,2.599999905,3
148,57,0,12,1,1540,1,0.300000012,3,3
149,51,0,12,1,400,0,0.300000012,2.900000095,4
150,68,0,6,0,50,0,0,2.799999952,3
151,66,1,9,0,57,1,1,3.5,3
152,34,0,16,1,500,0,0.699999988,2.400000095,4
153,79,0,12,0,0,1,0.300000012,2.799999952,3
154,52,0,16,0,700,0,0.300000012,2.099999905,4
155,64,1,16,1,1700,0,0,2.299999952,3
157,40,0,14,1,500,0,0,2.299999952,4
158,48,0,23,1,450,0,0,2,4
159,48,0,23,1,250,0,0.5,3,4
163,29,0,16,1,350,0,0.5,2.700000048,3
164,25,0,23,0,640,0,0.300000012,2.599999905,3
165,85,0,12,0,62,1,1,3.799999952,3
166,40,1,16,1,230,1,0.300000012,3.200000048,5
168,30,0,16,1,700,0,0.300000012,3,3
169,37,1,16,1,1600,0,0,2.599999905,4
170,58,1,16,1,1300,1,0.300000012,3.400000095,4
172,51,0,16,0,400,0,0.300000012,2.799999952,3
175,90,0,9,0,0,1,0.699999988,3.200000048,5
176,75,1,16,1,350,0,0,2.799999952,2
178,58,1,16,1,550,1,0.5,2.5,3
180,64,0,6,0,850,1,0.699999988,3.599999905,3
181,45,0,16,1,950,0,0.300000012,2.700000048,4
182,49,0,16,0,500,0,0,1.799999952,3
183,52,0,16,1,580,0,0.300000012,2.099999905,4
