,company,position,score,good,bad,is_recommend,label
0,SK텔레콤(주),인사/총무,100,"자유도가 높고 연차 사용이 편함, 문화 강요는 절대 없는 편이며 편하게 다닐 수 있었다","전문성이 약간 떨어지는 업무들,, 그래도 배움에 있어서 경력이 됨",이 기업을 추천 합니다!,1
1,SK텔레콤(주),생산/제조,100,자기계발하기에 좋았고 배울점이 많은 동료들이 많아서 좋았습니다,딱히 단점이랄게 없네요 급여수준도 만족스러웠고 업무강도가 쎄긴해요,이 기업을 추천 합니다!,1
2,SK텔레콤(주),IT/인터넷,60,강력한 노조. 통신비 지원. 최신폰을 맘껏 누리기소소한 회사 행사들. 가을소풍 가족캠프설 전 입금되는 인센. 평균에 속지말기팀바팀 유연근무,서비스 개발 마인드가 틀렸음. 조급하고 뚝심이 부족. 선도하기보다는 남이 이미 만들어 놓은 서비스를 기웃거리다가 만드는 모양새,이 기업을 추천하지 않습니다.,0
3,SK텔레콤(주),경영/기획/컨설팅,100,윗사람 눈치 안보고 연차 쓸수 있고 맡은 업무만 하면 터치가 없다.,"팀장을 잘 만나야 한다. 팀장님의 성향에 따라서 계약직, 파견직까지 업무가 가중된다.",이 기업을 추천 합니다!,1
4,SK텔레콤(주),교육,60,"연차 눈치없음 쿨하게 퇴근 개인생활노터치
그래도 기업문화는 다른대기업과 다른 이곳만의 분위기가 있다
장점도 단점도 되지만
구성원이라고 부르지만 구성하고있는 인간임 개별부품","노터치의 자유가 쓸쓸할때도 있다 
왕따가 하나씩은 있는데 내가 되면 곤란함
아무도 도와주지 않아여 그것또한 본인의 개인문제 역량문제
위로 가도 똑같음 대기업의 개인주의",이 기업을 추천 합니다!,1
5,SK텔레콤(주),경영/기획/컨설팅,100,"평균적으로 높은 보상과 우수한 동료들, 회사 이름 및 하는 일에 대해서 길게 설명할 필요 없음","통신 외 사업에 대한 잦은 spin-off, 단기적인 KPI에 매몰되어 서비스 경쟁력 약화 등",이 기업을 추천 합니다!,1
6,SK텔레콤(주),IT/인터넷,100,"어디에도 밀리지 않는 복지, 급여. 타 회사와 비교해도 1티어에 두어도 모자람이 없고 근무환경이 아주 자유로운것이 큰 장점",쓸데없는 회의 토론이 너무 많음. 성과에 대한 요구가 너무 많음. 하지만 사람은 없어서 늘 스트레스 받음,이 기업을 추천 합니다!,1
7,SK텔레콤(주),마케팅/시장조사,100,연차자유롭게 쓸수있음 워라벨이 좋음   직원들사기진작을 위한 복리후생이 다양함  일을 하며 여러기회가 생겨서 자기발전이 가능함,특별히 쓸만한 단점은 없음 직원들이 자주교체되고 비정규직비중이 높음,이 기업을 추천 합니다!,1
8,SK텔레콤(주),IT/인터넷,100,하고싶은거 하면서 스트레스 안받고 칼퇴하면서 다닐 수 있는 회사,일로 만들어지는 개인의 성장을 바라면 안됩니다.개발자들에게는 비추천 합이다.,이 기업을 추천 합니다!,1
9,SK텔레콤(주),경영/기획/컨설팅,60,연차 사용은 팀바이팀인듯.. 내가 있던 팀은 비교적 눈치 안보고 씀. 연봉 외 들어오는 수당이 괜찮은 편,연봉은 많지만 일이 힘들고 빡셈.. 야근 많이 할 땐 몇주간 야근함,이 기업을 추천 합니다!,1
10,SK텔레콤(주),디자인,100,복지끝판왕에 자잘하게 챙겨주는 것들이 많습니다 정말…그리고 재택과 유연이 활성화되어있음,다만 직무적 성장은 가능할것인가? 광만팔고 조금 고인물들이 많습니다,이 기업을 추천 합니다!,1
11,SK텔레콤(주),미디어/홍보,80,복지가 전체적으로 좋음. 회사 본사는 건물 좋고 근무 환경 쾌적함. 개인주의적인 회사 분위기라 부담이 없음. 팀마다 다르겠지만...,"매니저들은 내부 정치와 눈치 보기만 바쁘고 실제 업무는 거의 다 외주로 빼는 편. 기술직 제외하고는 그냥 다 사무직 아저씨들.. 여자 임원 거의 없고 팀장도 없다. 나중에 명퇴하면 거의 치킨집이나 편의점밖이 못할 정도로, 한국 최고 통신사임에도 직원들이 나른하고 무능력함. 학벌 좋은 사람들이니만큼 놀라울 정도. 비전이 없달까.. 그냥 월급 잘 타며 나른하게 살고 싶은 사람들에게는 좋겠지만...",이 기업을 추천 합니다!,1
12,SK텔레콤(주),경영/기획/컨설팅,80,"수평적인 사무실 분위기, 친절하신 팀장님, 각종 직원복지","일정직급까지는 무리 없지만, 그 이상 가려면 경쟁이 심함",이 기업을 추천 합니다!,1
13,SK텔레콤(주),마케팅/시장조사,80,"워라밸 및 복지 수준이 국내 최고 수준이고, 구성원들에게 제공하는 유무형의 복지가 상당히 만족스러움 (출퇴근 자율, 휴가 자율, 근무지 자율 등)",과거의 성공에 머물러있는 고연차 직원들의 비중이 상당히 높아서 신규 산업을 진행하는데에 업무방식의 개선이 쉽지않음,이 기업을 추천 합니다!,1
