,document,label
0,가벼우면서도 보여줄건 다 보여주는 성실함.,1
1,겁나재밌어...ㅋㅋ아는내용그대로나와도보게되긴함..시청률이떨어지고있지만 트로트의연인 화이팅!!!,1
2,젊은시절 이소룡의 광팬이 되어 개봉작마다 개봉 첫날에 영화보기 위해 줄서서 기다렸던 기억이 아련합니다...정무문은 이소룡의 영화중 단연 최고작품이죠...내 젊은시절의 우상 이소룡...당신이 많이 그립습니다...,1
3,최악...감동도없고 ....대놓고범죄..ㅡㅡ말도안돼는영화,0
4,어머니에게 감사드려요ㅜㅜ,1
5,잼있음.,1
6,비디오로 빌려본 기억이 나내요..당시엔 참 재미있었는데,1
7,신만이 이 영화를 용서할수 있다,0
8,시걸 성님의 걸작,1
9,감사합니다. 잘 보았습니다,1
10,최소한 말이 되게는 쓰시지... 감독님이랑 작가님 자질 평가좀 해봐야될듯 싶네요...,0
11,이런스타일영화 넘좋다.,1
12,한국의 기독교인들이 꼭 봐야할 영화,1
13,정말 재미있게 잘 봤다~!,1
14,10월12일 왜 결방임?,0
15,캬 내 10대의 추억이 이렇게 끝나네. 수고했다.,1
16,비내리는 날 극장에서 본 추억이... 제니퍼코넬리와 고블린의 주제음악이 아직도..,1
17,쩔어!!! 진짜 몰입력 짱,1
18,은근꿀잼임 오우 ㅋㅋㅋ,1
19,유튜브로 명장면으로 알고있는 장면중하나인 연설 연상을 봤는데..시대를 앞서간 장면이었음..현재 시대에 너무 잘 어울리는 연설이어서 이게 40년도당시 만들어졌던 원작이 맞나 생각할정도..시간있으면 풀버전으로 봐야되겠다.,1
20,아이들과 재미있게 잘 보고왔네요~^^재미있다고 또 보고싶다고~~,1
21,너무 웃겨. 박하선 코믹 연기가 발군인 영화~,1
22,유쾌하고 신나고 귀엽고 진짜 재미있음 공중전 최고,1
23,나는 희망한다. 나의 꿈을... 영화는 나에게 알게해줬다! 나의 마음속에 담겨져 있는 나의 마음을...,1
24,도대체 무슨 내용인지 모르겠다,0
25,노잼12121212,0
26,기대되요!!매번 본반사수할게요!!,1
27,해피엔딩으로 끝나네요 잡히는 줄 알았는데 남자가 살인을 저질렀는데 좀 찝찝함,1
28,"세계 영화사에 길이 남을 명작이 아닐 수 없다. 공산주의가 얼마나 인간성을 파멸시키는지를 리얼하게 잘 묘사하였으며, 그러한 절망적인 상황과 차가운 동토의 땅에에서도 순수하게 사랑하는 모습에 오래도록 여운이 남는다",1
29,빈 디젤의 어둡고 무게있는 분위기가 잘 녹아든 영화. 왠만한 요즘 영화보단 낫다.,1
30,중국영화 칼을 방금 봤는데 완전 심할정도로 배꼈던데..,0
31,영상미와 힐다와 히들의 케미가 쩔어 줬다,1
32,명작이란 그누구도따라올 수 없는 작품이어야 명작이다.이건 나도 따라올 수 있겠더라,0
33,지금까지 본 중국 영화중 최고였다~ 배우들 연기도 장난아니다~,1
34,소년이 소를 타고 피리부는 장면의 그 이미지가 너무 아름답고 강렬하다,1
35,포청천의 주제가가가 귀에 맴돌뿐이다...,0
36,사실뭐그냥그랫지뭐시간죽이기로,0
37,보는 내내 불편. 두 강간범을 죽인것은 인정. 하지만 자신이 정신이상이라 부르짖으며 어떻게든 풀려날려는 비겁함을 보고 또 다른 정의의 훼손을 목격한다. 결국 인종차별이란 것도 정의의 범주가 아니던가. 수단과 방법을 가리지 않고 자신의 정의만을 추구?,0
38,꼭보세요. 많은걸느낍니다.,1
39,베리드에 버금가는 초 저예산 영화...스토리 긴장감은 베리드가 더 나음,0
40,사랑은 이런 것. 눈동자가 예쁘네요.,1
41,잔잔하다 10점 개인적으로 이런영화를 좋아해서..,1
42,난해한 영화. 공허함만 남는 구나.. 그러나 왠지 좋다.,1
43,"캐릭터 퍼즐을 너무 어정쩡하게 맞춘듯, 결론또한 진부하기만 하다.",0
44,알바들아 제발 5점 이상 주지마 ㅡ_ㅡ영화 자체는 괜찮지만 한국어 더빙은 폭망이다.,0
45,본 지가 꽤 지났는데도 그 여운이 굉장히 긴 영화. 가슴이 시리도록 파고 들어옴.,1
46,코믹연기랍시고 전반적으로 다들 오버스럽다. 특히 성동일.,0
47,아바타같은소리하네..,0
48,아주 예전에 보았는데.. 내가 남자로서 저러케 품위있는 남자이고 싶다는 영화 였다..,1
49,아오...최상의캐스팅...채시라 주지훈 차화연씨..연기 대박... 다섯손가락 끝나면 뭐 보는 재미로 살지..ㅠㅜ,1
50,일본의 유치함이란... 어디까지 일까,0
51,중학교 때... 내 인생을 송두리째 바꿔놓은 영화,1
52,독립영화인건 문제가 아니다. 문제는 못 만든 영화라는 것.,0
53,가르시아를 알게 해준 영화..마지막 장면도 인상적이였다..결국 친구 하나때문에 멀쩡한 인생이 바뀔 수도 있다는 것..,1
54,광태역으로 나오는 배우 진짜 처음에 2AM 창민인줄 알았다. 영화 중간중간 사물놀이 소리가 기억에 남는 영화,0
55,다문화는 이미 유럽에서 실패한정책,0
56,언젠가는 리메이크 하겠지 매드맥스의 조지 밀러처럼 워쇼스키 남매가 다시 연출했으면 소원이 없겠다,1
57,어릴쩍 이영화보면서 켈리프레스톤 넘 이쁘다고 생각했었는데..,1
58,죠스-바의 습격ㅋ 쩐다ㅋ,0
59,납득이 가는 연출을 해라... 개연성 시망.. 살릴생각은 안하고 구경만하냐?,0
60,"왕의남자,태극기를 휘날리며, 괴물보다 훨~~~~~~씬 재밌게봤어요 !!!!!!!!!!",1
61,시간 낭비인 영화. 극중에 나온 아반떼와 EF소나타는 협찬이냐 우연이냐 그것만 궁금하도다,0
62,"도망을 가고 그렇지 않고는 중요하지 않다. 그저 이 영화는 복제 인간이라는 이야기의 틀을 빌렸을 뿐, '인간'이라는 존재에 대해 생각해 볼 거리를 던져주는 것에 그 목적이 있다. 장편 소설을 영화로 담는데 부족한 부분도 있지만 내겐 꽤 괜찮은 영화였다",1
63,소재나 재료는 좋은데 요리가 망했음,1
64,"인생은 아직도 보고 배울 것이 많겠지,, 하지만 난 왜 이렇게 움추리고 있을까,,,",0
65,소년탐정 김전일의 틀에 이토 준지식 호러의 어색한 짬뽕. 유치할 따름.,0
66,이영화 평점이 7점넘는다는거부터 미국영화라면 무조건 후하게주는걸 알수있다 ㅋㅋ,0
67,그냥 조용한 드라마 한편 같은 영화.. 근데 결말이 최악이고 많이 지루하다,0
68,이상한 각본 + 한국배우 발연기 왜 영화를보는대 내가 부끄러워야 하냐...,0
69,소재가 굉장히 참신햇다,1
70,스페인 산티아고 순례자길 걷고 연금술사 썼다고? 훔.. 그쪽 풍경이 이뿌긴하죠.. 잼나게 볼게요.,1
71,라디오에서 임진강이 흘러나올때 웬지 울컥.,1
72,"어제 귀여운 호비 잘봤어요 무지개 부채, 필림북 준비하세요",1
73,소소하게 잼있는데 ;;;;,1
74,넘 질질끄는듯...양수빈은 007인듯 ..권선징악 이면 좀 빨리전개되길 넘지루해,0
75,한가롭게 뒹굴고 있는겨?,1
76,재미없어...진짜.,0
77,영화가 어찌나 강렬한지 십수년이 지난 지금도 잊혀지지가 않네;;,1
78,말이 안돼는 영화,0
79,뭔 내용이야 좋은 배우들 갖다가 아우 보는 내내 짜쯩난다,0
80,서기의 연기력만 볼만했다....,0
81,실체없는 범죄를 쫓는 스릴러...이런 스타일도 이젠 지겹다,0
82,더스틴호프만 니콜키드먼 헐리웃 명품배우들이 출연한 영화에다가 무슨짓들인가? 상당히 불쾌하다!!,1
83,시원하게 울수있었던 감동적인 영화♥,1
