,review,label
0,재구매 일요일날 기프티콘 개 늦게옴. 7시간만에 왔음. 기프티콘 아마 직접 만들어 팔았나보,0
1,발송도스팸번호같이가고 이미지도;;최악의 기프티콘입니다.,0
2,"맛은 있지만 타사제품에 비해 닝닝한맛이 있어 조금부담 포장이 잘 안뜯겨 가위가 필수, 쭉 나오지 않아 가위로 끝까지 짤라내야 꺼내먹을수 있음. 가격은 타사에비해 좀더 착하긴 했음",0
3,잘모르겠음...쓰나안쓰나 ㅠㅠ,0
4,같은곳에서 시켰는데 이 오이지는 담그실때 소금양 실패하신듯 처음 배송와서 무슨 소금소태 먹는 것같아 다 버릴려다 하루종일 물에 담가 소금끼 뺐습니다 갖은 양념에 담아서 먹지만 별로 맛이 없어요ㅠ,0
5,시끄럽고 디퓨저사용시 머리가 너무 아프네요,0
6,배송 안보내요?? 저번주 토요일에 주분 했는데 택배사에 전화해 보니깐 물건 못받았다고 하는데;; 전화도 안받고 머하는거에요?? 환줄을 해주건가 안보낼꺼며네,0
7,"블루 옷걸이 50개 주문했습니다. 5개씩 포장되어 오는데 한 세트가 전체 다 얼룩져 있었습니다. 대량으로 주문하니깐 불량은 한세트 넣은것 같기도 해요ㅜ;; 한 세트 버렸지만, 정상품 옷걸이는 사용하기도 괜찮고 만족합니다.",0
8,바닥이 밀리고 동봉된 스크류피스가 약하네요,0
9,맛이 없어요.. 이삭토스트 맛은 아니에요... ㅠㅠ,0
10,ㅎㅎ 고르기 귀찮아서 랜덤 샀는데... 30장은 못쓰네요. 걍 직접고르세요~^^ 물론 갠취존중..ㅋㅋ 사진으로 모쓰는정도가 이정도?,0
11,다른 김치들 시켜 먹고 괜찮길래 기대를 갖고 주문 했는데...김치에서 흙맛이 나요 안 익어서 그런가 해서 익혔는데도 흙맛이 도네요 안 먹고 그대로 있어요 버리기도 뭐하고 처치 곤란이네요,0
12,진짜 너무 별로 허접하다 왜 리뷰가 좋은지 알수 없다 너무 얇고 진짜 곱도 아니고 쓴맛만 난다ㅠ 이게 팩트,0
13,너무작아요 소음도 큽니다,0
14,크기를 중자로 주문했는데 소자가 왔다. 속은것 같아 기분나쁘다.,0
15,배송은 조그 늦었지만 그래도 가격대비 좋아요,0
16,이거사용하는데 치발기솔이 다떨어지네요.. 아기가 씹다가 몇개 먹었을수도 있었겠네요..이거 위험한 제품이네요..ㅠ,0
17,동그란거샀는데 큰알약은 넣기힘듬,0
18,스판기가별로없어요ㅡ회색이랑같이 구매했는데 같은종류가아닌가봐요ㅡ,0
19,생각보다별로인거같다,0
20,컷팅이 지저분하고 2장을 붙였을때 틈이 벌어지네요 반품하고 다시 받았지만 그대로 였습니다 귀찮아서 구매확정해요 사실분들 참고하세요,0
21,에기는 맘에들고요 담엔 색상 수량확인후 발송부탁드립니다 색상도 맘데루 제품 수량도 적게왔네요 ㅜㅜ,0
22,친구나 지인이 산다고하면 극구 반대할거같아요 가격까지 비쌌으면 욕이라도 적었을거같은데 그거때문에 참네요 순화하고 순화해서 적습니다.,0
23,별로안돡시디신ㄱ지디시니디시시시,0
24,다른 제품을 보내셨네요... 큰훅고리 주문했는데 긴훅고리가 왔어요. 너무해요.,0
25,별로 효과를 느낄수없네요,0
26,재구매 엄니한테 사드렸는데 주문한거랑 다른게 왔어요 반품귀찮아 그냥 씁니다,0
27,사진보다 많이 작아여,0
